Timestamp,Discord username (with numbers),Deck (Paste Here),"I have made sure that my deck abides by the ban-lists, and I understand that I will be immediately disqualified if it doesn't."
5/16/2024 15:29:01,harryknight20#8508,"//play-1
1 Teklar
1 salamangreat battle zone
1 salamangreat creature zone
1 salamangreat resource zone

//deck-1
1 Hydoron of Teklar
2 Talakon
1 Mystical Beast Of The Deep LOC
2 Great Serpent of the Falls
1 Pelfam
1 Avalanche Overlord
2 Beast of the Conjurers 
1 Blure of Palifalls
2 Roudy of Palifalls
2 Fraxle
2 Lightning Squoz
2 Droplet Squoz
2 Thorngabork
1 Erratic Void
1 Abomination Tomb 
1 Warphole Jetpack
1 Safety Cable
2 Soulshroom
1 Enderman’s Telescope
1 Galaxy Crash
1 Activation Activated Activator
1 Beast Of The Black Hole
2 leviathan Crown
1 Relohex Mine 

//sideboard-1",My deck abides by the ban-list
5/16/2024 15:42:30,unseenoddish,"//hand-1
1 Sheos
1 Battle Zone
1 Creature Zone
1 Resource Zone

//deck-1
1 Meltalon
1 Dark-Spark Diabolus
2 Laji of the Blue-Flame Lamp
1 Jakrah of the Blue-Flame Jar
2 Sheosian Lava Rhino
2 Sheosian Lava Mole
2 Magsprout
2 Wakooman
1 Zammer Zead
1 Aubade Soldier
2 Zomatle
1 Orbov
2 Obsidiblob
2 The Undying Blue-Flame
2 Offerings to Eos
1 Galaxy Crash
2 Moltown the Sheosian Moon
1 For Sale Sign
1 Fire Wall
1 Relohex Mine
1 Activation Activated Activator
1 Monument to Creation
1 Planetary Field
1 Beast Of The Black Hole

//sideboard-1
2 Deepspace Lighthouse
2 Spirit of the Anti-Justice Sword
2 K.O.",My deck abides by the ban-list
5/16/2024 17:57:56,chaosgalaxytcg,"//deck-1
2 Yengalion
2 Light Beam Rider
1 Elite Drangel
1 Dark-Spark Diabolus
2 Beast of the Conjurers
2 Drangel
2 Dark Drangel
2 Drangeling
2 Chworb and Chariot
1 Shockafly
1 Orbov
1 Kaleidoscope Warriess
1 Pelfam
2 Thorngabork
2 Tower of Drangel
1 Galaxy Crash
1 Divine Doom
1 Abomination Tomb
1 Warphole Jetpack
1 For Sale Sign
1 Utopah the Sindian Moon
1 Planetary Field
1 Erratic Void
1 Activation Activated Activator
1 Beast Of The Black Hole

//play-1
1 Battle Zone
1 Sindian
1 Creature Zone
1 Resource Zone

//deck-2
1 Erratic Void
1 Galdora’s Box
2 Abandonment
2 K.O.
",My deck abides by the ban-list
5/16/2024 22:30:04,Luweg,"//deck-1
2 Abomination Tomb
1 Activation Activated Activator
1 Beast Of The Black Hole
1 Beast of the Conjurers
1 Blure of Palifalls
1 Burning Damacloid
1 Crimson Grenade
1 Dark-Spark Diabolus
1 For Sale Sign
1 Galaxy Crash
2 Gluuh - Beast Of The Nightjungle
2 Goouk - Tree Of The Nightjungle
2 Great Serpent of the Falls
2 Jakrah of the Blue-Flame Jar
1 Laji of the Blue-Flame Lamp
1 Leviathan Crown
1 Orbov
1 Pelfam
1 Planetary Field
2 Roudy of Palifalls
1 Sheosian Lava Mole
2 Soulshroom
2 The Undying Blue-Flame
2 Thorngabork
1 Zammer Zead

//hand-1
1 Gaios

//sideboard-1
1 Avalanche Overlord
1 Disarm
1 Galdora’s Box
2 Monument to Creation
1 Shape Knight Squarn
",My deck abides by the ban-list
5/16/2024 22:33:15,nutellla#4054 (finnthedemon),"//play-1
1 Sheos (pv)

//deck-1
1 Sheosian Lava Behemoth (gii)
2 Aubade Commander (dsd)
1 Pelfam (ooc)
1 Dark-Spark Diabolus (pv)
1 Bamoomoom (gdi)
2 Jakrah of the Blue-Flame Jar (she)
2 Laji of the Blue-Flame Lamp (she)
2 Fraxle (dsd)
2 Sheosian Lava Mole (gdi)
2 Zammer Zead (pv)
2 Zomatle (pv)
2 Blazing Squoz (she)
1 For Sale Sign (ooc)
1 Abomination Tomb (pv)
2 Moltown the Sheosian Moon (she)
1 Galaxy Crash (ooc)
2 The Undying Blue-Flame (she)
1 Activation Activated Activator (gdi)
2 Crimson Grenade (pv)
2 Fire Wall (dsd)
1 Planetary Field (dsd)
1 Beast Of The Black Hole (loc)

//sideboard-1
2 Spirit of the Anti-Justice Sword (gvi:016)
2 Time Flash Portal (piv)
2 Super Flooper (pv)
",My deck abides by the ban-list
5/16/2024 23:52:37,GodfishGallant#6963,"//play-1
1 Gaios

//deck-1
2 Shape Knight Octorius
2 Light Beam Rider
1 Pelfam
2 Shape Knight Hexataur
1 Dark-Spark Diabolus
2 Shape Knight Squarn
1 Shape Knight Trongulon
2 Shape Knight Lionel
2 Beast of the Conjurers
2 Zammer Zead
1 Orbov
2 Thorngabork
2 Gluuh - Beast Of The Nightjungle
2 Polygrand-Arena of the Shape Knights
2 Goouk - Tree Of The Nightjungle
1 Galaxy Crash
1 For Sale Sign
1 Abomination Tomb
2 Extra Extra Small Rescue
1 Activation Activated Activator
1 Beast Of The Black Hole
1 Planetary Field

//sideboard-1
1 Sindian
2 Abandonment
1 Abomination Tomb
2 Monument to Creation",My deck abides by the ban-list
5/17/2024 2:32:03,Chronoknight,"//sideboard-1
1 Erratic Void
1 Monument to Creation
1 Spirit of the Justice Shield
2 Shockwave 8
1 Super Flooper

//deck-1
1 Stalius of Sindian
2 Shape Knight Octorius
2 Light Beam Rider
2 Beast of the Conjurers
2 Shape Knight Hexataur
2 Shape Knight Squarn
1 Shape Knight Trongulon
2 The Turned Utopanon
1 Dura the Utopanon Guard
1 Thaddeus the Utopanon General
2 Acab the Utopanon Guard
2 Shape Knight Lionel
1 Orbov
1 Spirit of the Justice Shield
2 Polygrand-Arena of the Shape Knights
1 Divine Doom
1 Emblem of Bravery
2 Utopah the Sindian Moon
1 Cloud Cells
1 Eternity Amulet
1 Black Hole Blocker
1 Monument to Creation
1 Beast Of The Black Hole
1 Erratic Void

//hand-1
1 Sindian
1 Battle Zone DD
1 Creature Zone DD
1 Resource Zone DD
",My deck abides by the ban-list
5/17/2024 5:05:38,jezza#3966,"//deck-1
2 The Sky Kazzarak - Crown
2 The Sky Kazzarak - Beak
2 The Ground Kazzarak - Horn
2 The Ground Kazzarak - Hoof
2 The Mystic Blob
2 Kazzarak Kreator
2 Talakon
2 Beast of the Conjurers
2 Combine Harvester
2 Time Flash Portal
2 Monument to Creation
2 Talakon's Helm
2 Telepathic Touch
1 Abomination Tomb
1 Pelfam
1 For Sale Sign
1 Relohex Mine
1 Beast Of The Black Hole
1 Activation Activated Activator
1 Planetary Field
1 Galaxy Crash

//hand-1
1 Teklar

//sideboard-1
2 Erratic Void
2 K.O. LOC
2 Rewind Wormhole
",My deck abides by the ban-list
5/17/2024 8:46:25,brainpixels,"//deck-1
2 Great Serpent of the Falls
2 Roudy of Palifalls
1 Blure of Palifalls
1 Avalanche Overlord
1 Pelfam
1 Dark-Spark Diabolus
2 Beast of the Conjurers
2 Wakooman
2 Lightning Squoz
2 K.O. LOC
2 Abomination Tomb
2 Thorngabork
2 Gluuh - Beast Of The Nightjungle
2 Goouk - Tree Of The Nightjungle
2 Time Flash Portal
2 Soulshroom
1 Activation Activated Activator
1 Galaxy Crash
1 Planetary Field
1 Beast Of The Black Hole
1 For Sale Sign
1 Relohex Mine

//play-1
1 Gaios
1 Alar's Resource Zone
1 Alar's Battle Zone
1 Alar's Creature Zone

//sideboard-1
2 Spirit of the Anti-Justice Sword
2 Sheosian Lava Mole
2 Erratic Void
",My deck abides by the ban-list
5/17/2024 11:03:23,Notcharliejo,"//sideboard-1
1 Extra Extra Small Rescue (piii:098)
1 Chayo-yo (pv)
2 Blaze Elixir (ooc)
2 Skeleghast (gvi)

//deck-1
2 Collector's Cabinet (pll:067)
1 Relohex Mine (pii)
1 Activation Activated Activator (gdi)
2 Starship XXS (dsd)
2 Bugonk (piv)
2 Kelellion (piv)
2 Thorngabork (piii)
2 Droplet Squoz (pv)
2 Shoople Shadpw (gvi-014)
2 Pointasaurus (pv)
2 Pointphantom (gdi)
2 Beast of the Conjurers (pv)
1 Pelfam (ooc)
1 Beast Of The Black Hole (dsd)
1 Planetary Field (dsd)
1 Galaxy Crash (ooc)
2 Point Pickings (piv)
2 Point (cg set 1)
2 Hot Pointato (piii:077)
2 Pointree (pll:054)

//play-1
1 Battle Zone (zone)
1 Resource Zone (zone)
1 Creature Zone (zone)
1 Sindell (planet)",My deck abides by the ban-list
5/18/2024 21:31:09,Secret27#3693,"//deck-1
2 Shape Knight Octorius
2 Shape Knight Hexataur
2 Shape Knight Squarn
1 Shape Knight Trongulon
2 Shape Knight Lionel
2 Polygrand-Arena of the Shape Knights
2 Light Beam Rider
1 Pelfam
1 Dark-Spark Diabolus
2 Beast of the Conjurers
2 Zammer Zead
1 Orbov
2 Thorngabork
2 Gluuh - Beast Of The Nightjungle
1 Galaxy Crash
2 Goouk - Tree Of The Nightjungle
1 Abomination Tomb
1 For Sale Sign
2 Extra Extra Small Rescue
1 Beast Of The Black Hole
1 Planetary Field
1 Activation Activated Activator

//play-1
1 Gaios

//sideboard-1
2 Abandonment
1 K.O.
2 Monument to Creation
1 Erratic Void",My deck abides by the ban-list
