Timestamp,Discord username (with numbers),Deck (Paste Here),"I have made sure that my deck abides by the ban-lists, and I understand that I will be immediately disqualified if it doesn't."
9/29/2024 0:57:54,aanginer,"//sideboard-1
4 Palicium
1 Monument to Creation
2 Deepspace Lighthouse
1 K.O. LOC
1 Sheos

//play-1
1 Sindian
1 Meteor Stop Off Battle Zone
1 Meteor Stop Off Creature Zone
1 Meteor Stop Off Resource Zone

//deck-1
1 Activation Activated Activator
1 Relohex Mine
1 Planetary Field
1 Beast Of The Black Hole
1 For Sale Sign
1 Dark-Spark Diabolus
1 K.O.
2 Abomination Tomb
1 Galaxy Crash
2 Divine Doom
2 Angel Squoz
1 Gombajable
2 Zammer Zead
2 Beast of the Conjurers
1 Pelfam
2 Light Beam Rider
2 Polygrand-Arena of the Shape Knights
2 Shape Knight Lionel
1 Shape Knight Trongulon
2 Shape Knight Squarn
2 Shape Knight Hexataur
2 Shape Knight Octorius
1 Stalius of Sindian",My deck abides by the ban-list
10/9/2024 16:55:49,DiamondDeploy,"//deck-1
2 Super Bouncy Trampoline
1 Antithamulet [High Quality]
1 Planetary Field
1 Beast Of The Black Hole
2 Leviathan Crown
1 For Sale Sign
1 Warphole Jetpack
2 Krozen the Palician Moon
2 Abomination Tomb
1 Galaxy Crash
1 Help-O-Belt
2 Droplet Squoz
2 Roudy of Palifalls
2 Hammerhead Sharkling
1 Zammer Zead
2 Blure of Palifalls
2 Mystical Beast Of The Deep
1 Kranchon
2 Gobbostorrus
2 Zettoray - Mantalossus
2 Great Serpent of the Falls
1 Kranchon of Palicium

//sideboard-1
1 Abandonment
2 Time Flash Portal
1 Dark-Spark Diabolus
1 Pelfam
1 Acid Stalk Cloud

//play-1
1 Palicium",My deck abides by the ban-list
10/10/2024 15:40:42,Luweg,"//deck-1
2 Abomination Tomb
1 Activation Activated Activator
1 Beast Of The Black Hole
1 Beast of the Conjurers
1 Blure of Palifalls
1 Dark-Spark Diabolus
1 Erratic Void
1 Floating Temp of Tempfloaty
1 For Sale Sign
1 Galaxy Crash
2 Gluuh - Beast Of The Nightjungle
2 Goouk - Tree Of The Nightjungle
2 Great Serpent of the Falls
1 Jakrah of the Blue-Flame Jar
1 Laji of the Blue-Flame Lamp
1 Leviathan Crown
1 Monument to Creation
1 Orbov
1 Pelfam
1 Planetary Field
2 Roudy of Palifalls
2 Sheosian Lava Mole
2 Soulshroom
1 The Undying Blue-Flame
2 Thorngabork
1 Zammer Zead

//sideboard-1
1 Avalanche Overlord
1 Burning Damacloid
1 Monument to Creation
2 Shape Knight Squarn
1 Super Bouncy Trampoline

//hand-1
1 Gaios
",My deck abides by the ban-list
10/10/2024 21:49:44,dereal.deal,"//play-1
1 Meteor Stop Off Creature Zone (zan)
1 Meteor Stop Off Resource Zone (zan)
1 Meteor Stop Off Battle Zone (zan)
1 Sheos (ooc)

//deck-1
2 Beast of the Conjurers (pv)
2 Thorngabork (piii)
1 Dark-Spark Diabolus (pv)
1 Pelfam (ooc)
1 Zammer Zead (pv)
1 Orbov (p1)
1 Lightning Squoz (pv)
2 Sheosian Lava Rhino (she)
2 Sheosian Lava Behemoth (gii)
2 Sheosian Lava Mole (gdi)
2 Roudy of Palifalls (pal)
1 Blure of Palifalls (pal)
2 Great Serpent of the Falls (pc1)
1 Black Hole Blocker (piii)
2 Soulshroom (pv)
1 Galaxy Crash (ooc)
2 Time Flash Portal (piv)
1 Beast Of The Black Hole (dsd)
1 Planetary Field (dsd)
1 Activation Activated Activator (gdi)
2 Abomination Tomb (pv)
1 For Sale Sign (ooc)
2 Moltown the Sheosian Moon (she)

//sideboard-1
2 Seal of Eternity (pv)
2 Shape Knight Squarn (sdn)
2 Abandonment (gdi)
",My deck abides by the ban-list
10/10/2024 22:22:53,brainpixels,"//deck-1
1 Sheosian Lava Behemoth
2 Beast of the Conjurers
2 Bugonk
2 Starship XXS
2 Blaze Elixir
2 Help-O-Belt
2 Sheosian Lava Mole
1 Pelfam
2 Wakooman
2 Thorngabork
2 Gluuh - Beast Of The Nightjungle
2 Goouk - Tree Of The Nightjungle
2 Hot Pointato
2 Pointphantom
1 K.O. LOC
1 Activation Activated Activator
1 Beast Of The Black Hole
1 For Sale Sign
1 Galaxy Crash
1 Planetary Field
2 Abomination Tomb
1 Relohex Mine

//play-1
1 Gaios
1 Alar's Battle Zone
1 Alar's Creature Zone
1 Alar's Resource Zone

//sideboard-1
2 Super Flooper
1 Spirit of the Anti-Justice Sword
1 Shape Knight Squarn
2 Erratic Void
",My deck abides by the ban-list
10/10/2024 22:58:06,Finnthedemon (nutellla),"//deck-1
2 Shape Knight Octorius
1 Great Serpent of the Falls
2 Light Beam Rider
1 Pelfam
2 Beast of the Conjurers
2 Shape Knight Hexataur
2 Shape Knight Squarn
1 Blure of Palifalls
2 Zammer Zead
1 Shape Knight Trongulon
1 Orbov
1 Roudy of Palifalls
2 Angel Squoz
2 Shape Knight Lionel
2 Abomination Tomb
1 For Sale Sign
2 Divine Doom
1 Galaxy Crash
2 Polygrand-Arena of the Shape Knights
1 Black Hole Blocker
1 Activation Activated Activator
1 Planetary Field
1 Beast Of The Black Hole

//sideboard-1
1 Palicium
1 Sheos
2 Deepspace Lighthouse
2 Monument to Creation

//play-1
1 Sindian
",My deck abides by the ban-list
10/11/2024 0:00:27,GoldfishGallant,"//deck-1
1 Omnius The Planet Abomination
2 Shape Knight Octorius
2 Light Beam Rider
1 Pelfam
2 Shape Knight Hexataur
2 Beast of the Conjurers
1 Dark-Spark Diabolus
2 Shape Knight Squarn
2 Zammer Zead
1 Kaleidoscope Warriess
1 Shape Knight Trongulon
2 Angel Squoz
1 Orbov
2 Shape Knight Lionel
2 Polygrand-Arena of the Shape Knights
2 Divine Doom
1 Galaxy Crash
2 Abomination Tomb
1 For Sale Sign
1 Beast Of The Black Hole
1 Super Bouncy Trampoline
1 Planetary Field
1 Activation Activated Activator

//sideboard-1
1 Sheos
1 Palicium
2 Deepspace Lighthouse
2 Abandonment
",My deck abides by the ban-list
10/11/2024 0:39:33,Chronoknight,"//sideboard-1
2 Shape Knight Squarn
1 Super Flooper
1 Erratic Void
2 Abandonment

//hand-1
1 Resource Zone DD
1 Creature Zone DD
1 Battle Zone DD
1 Gaios

//deck-1
2 Ozo The Titan of Justice
2 Great Serpent of the Falls
2 Avalanche Overlord
2 Beast of the Conjurers
1 Blure of Palifalls
2 Ozoblok
2 Ozokai
2 Ozobam
2 Roudy of Palifalls
2 Thorngabork
2 Gluuh - Beast Of The Nightjungle
2 Abomination Tomb
2 Soulshroom
1 K.O. LOC
1 Galaxy Crash
2 Goouk - Tree of the Night Jungle
1 Forces of Justice
1 Lost Souls
1 Planetary Field
1 Beast Of The Black Hole
1 Activation Activated Activator
",My deck abides by the ban-list
10/11/2024 2:03:53,unseenoddish,"//deck-1
1 Sheosian Lava Behemoth
2 Skelequeen
1 Dark-Spark Diabolus
1 Sheosian Lava Mole
2 Skeleghast
2 Wakooman
1 Kaleidoscope Warriess
2 Zammer Zead
2 Droplet Squoz
2 Bonbeak
1 Orbov
2 Thorngabork
2 Soulshroom
2 Abomination Tomb
1 Forces of Justice
1 Galaxy Crash
2 Time Flash Portal
1 K.O.
1 For Sale Sign
1 Planetary Field
1 Beast Of The Black Hole
1 Relohex Mine
1 Activation Activated Activator
1 Erratic Void

//sideboard-1
2 Shape Knight Squarn
2 Kalamask
1 Erratic Void
1 Abandonment

//hand-1
1 Sindell
1 Battle Zone
1 Creature Zone
1 Resource Zone
",My deck abides by the ban-list
10/11/2024 4:26:40,Secret27,"//deck-1
2 Super Flooper
1 Pelfam
2 Truent
2 Phycodorus
2 Nawf
2 Voccapeccymacc
2 Sporegazer
2 Thorngabork
2 Gluuh - Beast Of The Nightjungle
2 Sapling Squoz
2 The Magical Zamelion Tree
1 Galaxy Crash
1 Time Flash Portal
2 Goouk - Tree Of The Nightjungle
1 For Sale Sign
2 Temple Traps
2 Monument to Creation
1 Beast Of The Black Hole
1 Super Bouncy Trampoline
1 Planetary Field
1 Activation Activated Activator

//play-1
1 Gaios

//sideboard-1
2 Shape Knight Squarn
2 Shockwave 8
1 Abandonment
1 Super Bouncy Trampoline
",My deck abides by the ban-list
